start,open,high,low,close,volume,trades,action
1546473600000,3857.57,3862.74,3828.7,3830.78,1754.761595,10485,0
1546477200000,3830.76,3843.24,3821.14,3835.96,1334.9609090000001,8383,0
1546480800000,3835.96,3844.99,3825.85,3833.47,651.9471360000001,6516,0
1546484400000,3833.69,3847.05,3832,3841.83,732.0216030000001,5700,0
1546488000000,3841.83,3850,3833.7,3834.59,649.6289170000001,6541,0
1546491600000,3834.7,3840.31,3805,3824.38,1094.3361079999995,8085,0
1546495200000,3824.38,3829.89,3813.62,3820.53,774.9789579999999,5755,0
1546498800000,3821.81,3837.52,3820.39,3828.88,706.2830500000001,5918,0
1546502400000,3828.88,3832.83,3796,3805,1539.5187369999999,8892,0
1546506000000,3805.85,3814.96,3783,3805.81,1663.6388549999995,8766,0
1546509600000,3806.13,3819,3804.07,3811.52,1319.3590169999998,7250,0
1546513200000,3810.61,3813.51,3787.29,3804,1649.2302150000005,9048,0
1546516800000,3803.31,3823,3795.33,3818.02,1243.8133199999997,7705,0
1546520400000,3817.17,3822,3809.35,3817.36,1097.3537129999995,6864,0
1546524000000,3816.64,3817.37,3790.04,3796.7,1187.8317040000002,7787,0
1546527600000,3796.79,3811.89,3785.32,3806.7,1340.2667260000003,8339,0
1546531200000,3807.37,3807.75,3730,3738,3271.1721399999988,16324,0
1546534800000,3738.71,3762.04,3732.19,3748.46,2025.9983589999997,10337,0
1546538400000,3748.46,3759.33,3738,3757.89,1021.6392499999998,7487,0
1546542000000,3757.58,3763.71,3740.11,3756,771.5846320000003,6897,0
1546545600000,3756,3782.25,3752.37,3780.03,760.4165809999997,7371,0
1546549200000,3779.99,3782.69,3768.23,3771.26,1333.486625,7874,0
1546552800000,3771.27,3781.4,3757.14,3773.79,959.7927170000002,6710,0
1546556400000,3773.42,3775.53,3757.87,3766.78,522.9274919999999,5766,0
1546560000000,3767.2,3767.21,3730,3750.3,1249.5467280000005,7920,1
1546563600000,3750.53,3776.89,3749.67,3766.23,793.9414700000001,6326,0
1546567200000,3765.67,3766.48,3750.41,3758.65,583.3280939999999,5365,1
1546570800000,3759.33,3787.65,3752.41,3780.04,981.9115619999999,6684,0
1546574400000,3780.04,3793,3761.94,3775.33,1290.111753,7538,0
1546578000000,3776.18,3788.53,3764.37,3779.9,982.013535,7299,0
1546581600000,3779.9,3797.52,3775.92,3783.02,1406.8406850000001,8495,0
1546585200000,3783.34,3800,3779.54,3783.28,1150.9584020000002,7677,0
1546588800000,3783.28,3800,3766.75,3771.34,1487.042166,8161,0
1546592400000,3771.35,3789.9,3757,3764.35,1358.1022380000004,7841,1
1546596000000,3764.03,3777.16,3756.48,3775.48,849.6485209999998,6268,0
1546599600000,3775.46,3777.77,3752,3757.55,926.7264880000004,6344,1
1546603200000,3754.05,3765,3739,3755.52,1467.2347319999997,7846,1
1546606800000,3755.95,3757.52,3742.08,3744,1476.93285,7332,1
1546610400000,3744.62,3751.94,3703.62,3717.14,2731.97833,12400,1
1546614000000,3715.58,3728.59,3703.57,3725.28,1424.7868019999999,9649,1
1546617600000,3725.3,3754,3717.3,3747.5,1245.430684,8413,1
1546621200000,3747.5,3749.5,3735.03,3745.22,929.209102,7074,1
1546624800000,3745.43,3745.96,3726.99,3730,828.8959170000002,6210,1
1546628400000,3730.41,3746.59,3729.02,3739.53,822.2867150000001,7043,1
1546632000000,3739.74,3786,3733.46,3764.24,1359.2954820000002,8197,1
1546635600000,3762.36,3823.64,3760.21,3802.36,2242.107164,11200,0
1546639200000,3802.59,3816.18,3778.51,3790.98,1203.4661659999992,7379,0
1546642800000,3792.35,3800.98,3787.57,3792.01,727.7590849999999,5375,0
1546646400000,3790.09,3838.7,3788.97,3811.76,2440.690197,11364,0
1546650000000,3811.79,3827.41,3783.25,3803.58,2262.7490780000007,9247,0
1546653600000,3803.56,3820.13,3802.43,3811.88,1318.6389440000005,8366,0
1546657200000,3813.16,3822.27,3803.25,3815,1107.4792710000002,6535,0
1546660800000,3815.35,3826.39,3812.09,3815.72,1224.004168,7941,0
1546664400000,3815.72,3840.99,3815.72,3834.01,1477.7333280000005,8607,0
1546668000000,3834.01,3835.08,3792,3799.45,2015.4735729999998,9953,0
1546671600000,3799.71,3804.99,3780.13,3785.15,956.1102140000002,6698,0
1546675200000,3784.37,3798.84,3783.76,3793.56,614.93263,6364,0
1546678800000,3793.01,3796.94,3787.03,3790.36,658.5524069999999,5987,0
1546682400000,3789.72,3793.81,3770,3787.94,955.9337110000001,8206,0
1546686000000,3788.79,3812.63,3787.53,3801.26,859.3981759999999,7112,0
1546689600000,3801.03,3811.98,3796.35,3802.47,964.382953,7712,0
1546693200000,3801.79,3802.74,3782,3793.84,1386.141669999999,9017,0
1546696800000,3793.83,3794.89,3778.01,3787.45,1333.2329820000002,7935,0
1546700400000,3787.55,3814,3785.02,3785.58,1807.063707,11026,0
1546704000000,3785.58,3805,3775,3797.19,1663.6014400000001,10120,0
1546707600000,3797,3807.99,3795.82,3801.36,1004.5710730000001,7061,1
1546711200000,3801.52,3818.51,3798.26,3809.02,1159.90149,7504,1
1546714800000,3810,3820,3798.19,3810.98,868.1443919999999,6757,1
1546718400000,3810.89,3812.36,3800,3803.68,514.185341,5397,1
1546722000000,3804.95,3812.5,3799,3806.57,493.090412,5545,1
1546725600000,3806.33,3810.2,3751,3786.62,2574.9176059999995,13432,1
1546729200000,3786.62,3786.63,3766.14,3770.96,829.738988,6846,1
1546732800000,3771.12,3792.12,3761.6,3786.76,964.5644279999999,7127,1
1546736400000,3786.86,3791.98,3761.15,3765.65,1065.3565140000003,7298,1
1546740000000,3765.65,3775.01,3740,3771.82,1629.6625220000008,9006,1
1546743600000,3771.57,3778.13,3765.49,3771.15,575.9471110000001,5244,1
1546747200000,3771.7,3776.86,3760.58,3767.9,648.5346259999998,5080,1
1546750800000,3768.13,3783.55,3764.43,3777.75,586.8135759999998,5503,1
1546754400000,3778.38,3779.76,3772.14,3772.22,330.386704,4300,1
1546758000000,3772.34,3775.11,3760,3767.94,656.4985240000001,6171,1
1546761600000,3768.11,3773.32,3761.81,3772.88,569.315529,4925,1
1546765200000,3772.77,3782.56,3770.93,3771.3,821.5869980000001,5716,1
1546768800000,3771.3,3812.02,3770.93,3796.99,1745.968805,8371,1
1546772400000,3796.42,3820.82,3796.42,3814.24,1851.6311219999993,9030,1
1546776000000,3814.23,3820.41,3787.07,3790.81,1358.3599080000004,8100,1
1546779600000,3791.12,3808.31,3785,3798.61,839.1476230000001,6010,1
1546783200000,3800,3805,3791,3801.35,900.3766369999997,5873,1
1546786800000,3802,3824.99,3800.24,3806.82,1551.9075180000002,9495,1
1546790400000,3806.91,3814.99,3800.31,3813.39,916.8428159999996,6917,1
1546794000000,3813.39,4025,3813.39,4007.11,8255.228309000002,40945,0
1546797600000,4007.13,4027.71,3972.71,3989.09,3032.6923390000006,18355,0
1546801200000,3990,4013,3989.12,4002.46,2004.5418750000001,11976,0
1546804800000,4001.41,4015,3967.01,3977.16,1848.30919,11162,0
1546808400000,3980.57,3985.69,3953.53,3967.49,2190.129871,12551,0
1546812000000,3967.49,3988,3965.42,3970.36,977.128225,8625,0
1546815600000,3970.99,4009.63,3970.79,3987.6,1232.875939,8930,0
1546819200000,3987.62,4017.9,3986.41,4008.05,1506.176402,9733,0
1546822800000,4008.88,4009.84,3972.06,3984.28,1753.0900699999997,10128,0
1546826400000,3984.02,3987.2,3970.03,3987.2,1289.863277,8251,0
1546830000000,3987.04,3996.97,3983.03,3992.26,815.6225440000001,7012,0
1546833600000,3991.69,3996.06,3986.4,3988.72,648.2321069999999,6196,0
1546837200000,3987.89,3996.08,3980.08,3994.96,732.6578049999999,6235,0
1546840800000,3993.82,4001.77,3982.61,3990.78,1105.6592130000001,6948,0
1546844400000,3990.76,4001.21,3988,4001,1113.7612230000004,7479,0
1546848000000,4001.02,4015,3990,4007.7,2023.90655,9833,0
1546851600000,4007.68,4010.67,3921.53,3957.01,4055.9098589999967,18245,0
1546855200000,3957.01,3997,3955.5,3959.35,2001.4241620000012,11771,0
1546858800000,3959.35,3976.9,3952.07,3976.76,975.3495080000001,7386,0
1546862400000,3976.78,3978,3955.02,3956.87,881.1199789999998,8164,0
1546866000000,3956.87,3982.96,3955.02,3980.26,849.436031,7690,0
1546869600000,3980.98,4000,3975.8,3985.46,1168.9836009999995,8931,0
1546873200000,3985.48,3990,3964.49,3969.91,1269.785993,8807,1
1546876800000,3969.91,3985.98,3965,3978.96,1225.5409060000004,8843,1
1546880400000,3978.96,3989.18,3941,3979.34,2244.2085690000004,11774,1
1546884000000,3979.34,3994.98,3976,3977.89,1326.024328,8823,1
1546887600000,3977,3989.35,3974.31,3988.52,906.537352,7093,1
1546891200000,3987.71,3988.74,3961,3970.96,1272.8560430000002,8747,1
1546894800000,3969.88,3981.25,3967,3971.98,776.604485,6520,1
1546898400000,3971.99,3975.35,3951.55,3964.81,1130.427113,9288,1
1546902000000,3965.61,3978.97,3954.19,3975.45,796.6691440000001,6689,1
1546905600000,3976.76,3989,3973.79,3981.12,930.173886,7354,1
1546909200000,3981.12,3982.1,3960,3961.03,965.357437,6666,1
1546912800000,3961.53,3966.39,3922,3949.16,2296.0116300000004,11408,1
1546916400000,3949,3957.49,3942,3945.61,1034.4999469999998,7453,1
1546920000000,3944.94,3947.62,3936.26,3944.88,1460.0147629999997,7659,1
1546923600000,3943.86,3952.54,3939.81,3950.49,1002.6964680000002,6329,1
1546927200000,3950.49,3965.66,3940,3958.56,1044.670249,7156,1
1546930800000,3959.59,3968.42,3946.09,3953.6,1038.1454840000004,6804,1
